label,phase,packet_bytes,tap,kind,cycles,xfer_cycles,stall_cycles,starved_cycles,idle_cycles,accept_rate,service_period_cycles,beats_per_cycle,bytes_per_cycle,stall_frac,starve_frac,dominant_state
shared-80mhz-probed,b2b-256,256,decrypt/verify.tags_match,handshake,882,4,0,485,393,1.0,1.0,0.0045351473922902496,,0.0,0.5498866213151927,
shared-80mhz-probed,b2b-256,256,decrypt/wtv.axis_in,handshake,882,64,0,818,0,1.0,1.0,0.07256235827664399,1.1609977324263039,0.0,0.927437641723356,
shared-80mhz-probed,b2b-256,256,decrypt/wtv.axis_out,handshake,882,64,0,818,0,1.0,1.0,0.07256235827664399,1.1609977324263039,0.0,0.927437641723356,
shared-80mhz-probed,b2b-256,256,decrypt/wtv.fsm,state,882,,,,,,,,,,,WAIT_TO_VERIFY_BIT
shared-80mhz-probed,b2b-256,256,decrypt/wtv.verify_bit,handshake,882,4,0,485,393,1.0,1.0,0.0045351473922902496,,0.0,0.5498866213151927,
shared-80mhz-probed,b2b-256,256,encrypt/append.axis_in,handshake,882,64,0,762,56,1.0,1.0,0.07256235827664399,1.1609977324263039,0.0,0.8639455782312925,
shared-80mhz-probed,b2b-256,256,encrypt/append.axis_out,handshake,882,68,0,814,0,1.0,1.0,0.07709750566893424,1.2335600907029478,0.0,0.9229024943310657,
shared-80mhz-probed,b2b-256,256,encrypt/append.fsm,state,882,,,,,,,,,,,CIPHERTEXT
shared-80mhz-probed,b2b-256,256,encrypt/append.tag_in,handshake,882,4,0,52,826,1.0,1.0,0.0045351473922902496,,0.0,0.05895691609977324,
shared-80mhz-probed,b2b-256,256,encrypt/chacha20.axis_in,handshake,882,64,8,2,808,0.8888888888888888,1.125,0.07256235827664399,1.1609977324263039,0.009070294784580499,0.0022675736961451248,
shared-80mhz-probed,b2b-256,256,encrypt/chacha20.axis_out,handshake,882,64,352,0,466,0.15384615384615385,6.5,0.07256235827664399,1.1609977324263039,0.39909297052154197,0.0,
shared-80mhz-probed,b2b-256,256,encrypt/chacha20.from_pipeline,handshake,882,20,416,398,48,0.045871559633027525,21.8,0.022675736961451247,,0.47165532879818595,0.4512471655328798,
shared-80mhz-probed,b2b-256,256,encrypt/chacha20.in_state,state,882,,,,,,,,,,,POLY_KEY
shared-80mhz-probed,b2b-256,256,encrypt/chacha20.key_out,handshake,882,4,131,393,354,0.02962962962962963,33.75,0.0045351473922902496,,0.14852607709750568,0.445578231292517,
shared-80mhz-probed,b2b-256,256,encrypt/chacha20.out_state,state,882,,,,,,,,,,,POLY_KEY
shared-80mhz-probed,b2b-256,256,encrypt/chacha20.to_pipeline,handshake,882,20,4,421,437,0.8333333333333334,1.2,0.022675736961451247,,0.0045351473922902496,0.47732426303854875,
shared-80mhz-probed,b2b-256,256,encrypt/poly1305.data_in,handshake,882,76,360,21,425,0.1743119266055046,5.7368421052631575,0.08616780045351474,1.3786848072562359,0.40816326530612246,0.023809523809523808,
shared-80mhz-probed,b2b-256,256,encrypt/poly1305.from_compute,handshake,882,76,0,806,0,1.0,1.0,0.08616780045351474,,0.0,0.9138321995464853,
shared-80mhz-probed,b2b-256,256,encrypt/poly1305.fsm,state,882,,,,,,,,,,,FINISH_ITER
shared-80mhz-probed,b2b-256,256,encrypt/poly1305.key_in,handshake,882,4,131,393,354,0.02962962962962963,33.75,0.0045351473922902496,,0.14852607709750568,0.445578231292517,
shared-80mhz-probed,b2b-256,256,encrypt/poly1305.tag_out,handshake,882,4,0,52,826,1.0,1.0,0.0045351473922902496,,0.0,0.05895691609977324,
shared-80mhz-probed,b2b-256,256,encrypt/poly1305.to_compute,handshake,882,76,0,426,380,1.0,1.0,0.08616780045351474,,0.0,0.48299319727891155,
shared-80mhz-probed,b2b-256,256,encrypt/prep.axis_in,handshake,882,64,352,0,466,0.15384615384615385,6.5,0.07256235827664399,1.1609977324263039,0.39909297052154197,0.0,
shared-80mhz-probed,b2b-256,256,encrypt/prep.axis_out,handshake,882,76,360,21,425,0.1743119266055046,5.7368421052631575,0.08616780045351474,1.3786848072562359,0.40816326530612246,0.023809523809523808,
shared-80mhz-probed,b2b-256,256,encrypt/prep.fsm,state,882,,,,,,,,,,,IDLE
