label,phase,packet_bytes,direction,block,cycles,beats,bytes_per_cycle,ceiling_bytes_per_cycle,service_period_cycles,accept_rate,in_stall_frac,in_starve_frac,out_stall_frac,dominant_state
shared-80mhz-probed,b2b-1024,1024,decrypt,verify,2293,4,,16.0,1.0,1.0,0.0,0.020933275185346708,0.0,TAKE_AUTH_TAG
shared-80mhz-probed,b2b-1420,1420,encrypt,chacha20,3561,356,1.5950575680988486,3.2236095346197504,4.949438202247191,0.20204313280363223,0.39483291210334176,0.007020499859590003,0.5074417298511654,POLY_KEY
shared-80mhz-probed,b2b-1420,1420,encrypt,prep_auth_data,3561,356,1.5950575680988486,2.6259824318076745,6.075842696629214,0.16458622283865001,0.5074417298511654,0.0011232799775344005,0.5096882898062342,CIPHERTEXT
shared-80mhz-probed,b2b-1420,1420,encrypt,poly1305,3561,368,1.6534681269306375,2.6972056802565274,5.932065217391305,0.168575355016033,0.5096882898062342,0.010109519797809604,0.0011232799775344005,FINISH_ITER
shared-80mhz-probed,b2b-1420,1420,encrypt,append_auth_tag,3561,356,1.5950575680988486,15.955056179775282,1.0,1.0,0.0,0.8831788823364224,0.0,CIPHERTEXT
shared-80mhz-probed,b2b-1420,1420,decrypt,chacha20,3561,356,1.5950575680988486,5.000000000000001,3.191011235955056,0.31338028169014087,0.21903959561920808,0.649536647009267,0.0,PLAINTEXT
shared-80mhz-probed,b2b-1420,1420,decrypt,prep_auth_data,3561,356,1.5950575680988486,2.0483231157591058,7.78932584269663,0.1283808150018031,0.6787419264251615,0.18843021623139566,0.6767761864644762,CIPHERTEXT
shared-80mhz-probed,b2b-1420,1420,decrypt,poly1305,3561,368,1.6534681269306375,2.1195104391648667,7.548913043478261,0.13246940244780417,0.6767761864644762,0.18843021623139566,0.0,FINISH_ITER
shared-80mhz-probed,b2b-1420,1420,decrypt,strip_auth_tag,3561,360,1.613030047739399,1.665893271461717,9.577777777777778,0.10440835266821345,0.8671721426565572,0.03173265936534681,0.8671721426565572,
shared-80mhz-probed,b2b-1420,1420,decrypt,wait_to_verify,3561,356,1.5950575680988486,15.955056179775282,1.0,1.0,0.0,0.9000280819994384,0.0,WAIT_TO_VERIFY_BIT
shared-80mhz-probed,b2b-1420,1420,decrypt,verify,3561,4,,16.0,1.0,1.0,0.0,0.013479359730412805,0.0,TAKE_AUTH_TAG
shared-80mhz-probed,peak-1920,1920,encrypt,chacha20,4209,480,1.8246614397719174,2.9767441860465116,5.375,0.18604651162790697,0.4989308624376336,0.0004751722499406035,0.574008077928249,PLAINTEXT
shared-80mhz-probed,peak-1920,1920,encrypt,prep_auth_data,4209,480,1.8246614397719174,2.6519337016574585,6.033333333333333,0.16574585635359115,0.574008077928249,0.010453789498693276,0.5759087669280114,CIPHERTEXT
shared-80mhz-probed,peak-1920,1920,encrypt,poly1305,4209,492,1.8702779757662154,2.6995884773662553,5.926829268292683,0.16872427983539096,0.5759087669280114,0.015443098123069612,0.0,FINISH_ITER
shared-80mhz-probed,peak-1920,1920,encrypt,append_auth_tag,4209,480,1.8246614397719174,16.0,1.0,1.0,0.0,0.8726538370159183,0.0,CIPHERTEXT
shared-80mhz-probed,peak-1920,1920,decrypt,chacha20,4209,480,1.8246614397719174,6.826666666666667,2.34375,0.4266666666666667,0.15324305060584462,0.6989783796626277,0.0,PLAINTEXT
shared-80mhz-probed,peak-1920,1920,decrypt,prep_auth_data,4209,480,1.8246614397719174,2.111630464668683,7.577083333333333,0.1319769040417927,0.7500593965312425,0.10073651698740793,0.7483962936564504,CIPHERTEXT
shared-80mhz-probed,peak-1920,1920,decrypt,poly1305,4209,492,1.8702779757662154,2.161449752883031,7.402439024390244,0.13509060955518945,0.7483962936564504,0.10073651698740793,0.0,FINISH_ITER
shared-80mhz-probed,peak-1920,1920,decrypt,strip_auth_tag,4209,484,1.8398669517700166,1.905043050430504,8.398760330578513,0.11906519065190652,0.8507959135186505,0.03421240199572345,0.8507959135186505,
shared-80mhz-probed,peak-1920,1920,decrypt,wait_to_verify,4209,480,1.8246614397719174,16.0,1.0,1.0,0.0,0.8859586600142552,0.0,WAIT_TO_VERIFY_BIT
shared-80mhz-probed,peak-1920,1920,decrypt,verify,4209,4,,16.0,1.0,1.0,0.0,0.011404133998574484,0.0,TAKE_AUTH_TAG
